"Term","Value"
"congratulation",0.178258851846543
"panama",0.179226362851291
"boone",0.180740728356404
"controlled",0.188952641518938
"isakson",0.193224005253277
"emotional",0.198113448958114
"trillion",0.207528034521683
"disregard",0.214627460646578
"grassley",0.256330162053470
"johanns",0.264918581469804
"outrageous",0.265776190668179
"reservoir",0.26950331619858
"shelby",0.269562275271029
"behavior",0.274768764338966
"inflation",0.280629574355722
"shoe",0.280841065219298
"host",0.282702779925120
"idaho",0.286172942343168
"undermines",0.290918151642791
"brownback",0.293444761076892
"fluctuations",0.296151928385658
"practicing",0.297104377564097
"crapo",0.301067556220435
"1108",0.301629926890052
"thune",0.313679209239091
"physician",0.321426976951610
"986",0.343989569069242
"statutes",0.345416711508438
"clearest",0.347184934321712
"flawed",0.351112127484303
"reaffirms",0.352912092355743
"baldwin",0.357222459325837
"1st",0.374598447979625
"trying",0.38823901119491
"austal",0.413316139577035
"admitted",0.41701521075576
"democrat",0.446382876744931
"johnny",0.453239377890043
"precisely",0.47412684181161
"lindsey",0.494095437423883
"attendance",0.517755965419125
"neb",0.542327355045731
"sam",0.544851819259365
"regarding",0.560077063537037
"ensign",0.567949467901228
"patriotism",0.603357847936385
"texans",0.605061262395487
"administering",0.664379663197968
"bailey",0.786862639868372
"demint",0.86134972269807
"okla",1.65746858665411
